ᎬᎿᎦᏍᏛ	Afrika
Category:ᎠᏂᎪᎢ ᎤᏂᏃᎮᎸᎯ	Kategori:Gresk mytologi
Category:ᎠᏂᎩᏍᏙᏗ	Kategori:Transport
Category:ᏧᏴᏢ ᎠᎹᏰᎵ	Kategori:Nord-Amerika
Category:ᎠᏥᎳ	Kategori:Ild
Category:ᏗᎧᏃᏗ	Kategori:Farge
Template:Image label begin	Mal:Image label begin
Category:User en-1	Kategori:Bruker en-1
Category:User de-1	Kategori:Bruker de-1
ᎧᎹᎹ (ᏨᏍᎪᏱ)	Rhopalocera
Template:Multi-listen item	Mal:Multi-listen item
Special:RecentChanges	Spesial:Siste endringer
Module:HtmlBuilder	Modul:HtmlBuilder
