པ་སངས།	Venus
སྐད་རིགས།	Språk
བརྩེ་དུང་།	Kjærlighet
ཕུར་བུ།	Jupiter
སྐར་མ་གནམ་རྒྱལ།	Uranus
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Neptun (planet)
སེང་ག་ཕོར།	Singapore
ཚན་རིག	Vitenskap
མིར་ཡམ །	Jomfru Maria
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Sport
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Første verdenskrig
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Andre verdenskrig
ཧྥུ་ཐ་ཅ་ཨ་རག	Vodka
སི་ཀོཔ་ཇི།	Skopje
རྩིས་རིག	Matematikk
ལ་ཏིན་སྐད།	Latin
བྷཧ་རཡིན།	Bahrain
ཨར་མེ་ནི་ཡ།	Armenia
སེར་བྷི་ཡ།	Serbia
ཟླ་བ།	Månen
ཨོ་སེ་ཐེ་ལི་ཡ།	Australia
དངོས་ཁམས་རིག་པ་	Fysikk
ཨར་ཇེན་ཊི་ན།	Argentina
པེ་རུ།	Peru
སྐྱེ་དངོས་རིག་པ།	Biologi
བྱང་ཀོ་རི་ཡ།	Nord-Korea
ཁམ་པོ་ཛ།	Kambodsja
ཁུ་རན་གསུང་རབ།	Koranen
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Ljubljana
རྩི་ཤིང་རིག་པ།	Botanikk
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Hjul
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Fred
ལི་ཡོང་།	Lyon
བུད་མེད།	Kvinne
སོ་ཧྥི་ཡ།	Sofia
ཐང་རྗི་ཁོཏ།	Don Quijote
སྙན་ངག	Poesi
མི་ལཱན།	Milano
ཁྱིམ་དྲན་སེམས་ནད།	Hukommelse
ཊུ་རིན།	Torino
ལེ་མོན།	Sitron
ངང་ལག	Bananer
མེ་ཏོག	Blomst
ཇོ་མོ་གླང་མ།	Mount Everest
གཤག་བཅོས་རིག་པ།	Anatomi
གྲོང་ཁྱེར།	By
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesuv
ཉི་མ།	Solen
གྲོང་ཚོ།	Landsby
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oseania
ཉི་མའི་ཁྱིམ་རྒྱུད།	Solsystemet
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Dag
ཤར་ཏིམོར།	Øst-Timor
དགོང་མོ།	Natt
ལོ་	År
རེན་གཙང་པོ།	Rhinen
ཨོ་སི་ལོ།	Oslo
བྷོ་ཨིན།	Bonn
ནག་ཁུང་།	Sort hull
ལི་སི་བཱོན།	Lisboa
ལུའོ་ནེའུ་གཙང་པོ།	Rhône
ཧྥོར་ཅཱ་གཙང་པོ།	Volga
གསོ་རླུང་།	Oksygen
གཡོ་སྐར།	Planet
རོལ་དབྱངས།	Musikk
ཝེ་ནེ་ཟི་ཡ།	Venezia
པོ་གཙང་པོ།	Po
མོ་སི་ཁོ།	Moskva
ཨི་ཏ་ལིའི་སྐད།	Italiensk
སན་པི་ཏི་པོག	St. Petersburg
ཆཱ་ཌ།	Tsjad
བྱང་ཕྱོགས།	Nord
ནིའུ་ཛི་ལེན་ཌི།	New Zealand
རྒྱ་གར།	India
ཏུ་ཝ་ལུ།	Tuvalu
ཚིག་ལྷུག	Prosa
ཊོང་ག	Tonga
ནུབ་ཕྱོགས།	Vest
ས་མོའ།	Samoa
ཤར་ཕྱོགས།	Øst
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Salomonøyene
ཝ་ནུའ་ཏུ།	Vanuatu
མོའོ་ལིས་ཨེར།	Molière
པ་པུ་འ་ནིའུ་གི་ནེ།	Papua Ny-Guinea
ཞེ་ཁུ་སི་པེར།	William Shakespeare
པ་ལའུ།	Palau
ནའུ་རུ།	Nauru
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Mikronesiaføderasjonen
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Marshalløyene
ཀི་རི་བ་ཏི།	Kiribati
སོག་ཡུལ།	Mongolia
ཧྥི་ཇི།	Fiji
ཝེ་ནེ་ཟུའེ་ལ།	Venezuela
རྒྱལ་སྤྱིའི་མིག་མངས།	Sjakk
རྟ།	Hest
ཨེམ་སི་ཊར་ཌམ།	Amsterdam
མཚོན་ཆ།	Våpen
སུ་རི་ནེམ།	Surinam
པ་ར་གུ་ཡེ།	Paraguay
གུ་ཡ་ན།	Guyana
སྒྱུ་རྩལ།	Kunst
ཨེ་ཁོའོ་ཌོར།	Ecuador
ཁོ་ལོམ་བི་ཡ།	Colombia
ནང་བསྟན།	Buddhisme
བྷོ་ལི་ཝི་ཡ།	Bolivia
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Trinidad og Tobago
སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	Saint Vincent og Grenadinene
ནེའུ་ཧམ་ཕུ་ཤར།	New Hampshire
སེན་ཊ་ལུ་ཤི་ཡ།	Saint Lucia
ལེ་ཨོ་ན་ཏོ་ཏ་ཧྥིན་ཆི།	Leonardo da Vinci
སེན་ཊི་ཀི་ཊི་སི་དང་ནེ་བི་སི།	Saint Kitts og Nevis
ཇ་མའི་ཀ	Jamaica
གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Grenada
གུ་ཝེ་ཐི་མ་ལ།	Guatemala
བ་ཧ་མཱ་སི།	Bahamas
བྱ་ཏེ་	Tamhøns
ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།	Antigua og Barbuda
ཧ་ཝ་ཡི།	Hawaii
ཧོང་དུ་ར་སི།	Honduras
ཌོ་མི་ནི་ཀ	Dominica
ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Den dominikanske republikk
ཕག་པ།	Gris
ཧའི་ཏི།	Haiti
ཨིལ་སལ་ཝ་ཌོར།	El Salvador
ཡི་ལང་།	Iran
ཡི་ལའ་ཁོ།	Irak
ཁོ་ས་ཏ་རི་ཁ	Costa Rica
ཨི་སི་ར་ཨེལ།	Israel
པ་ན་མ།	Panama
ཡེ་མེན།	Jemen
ཕོ་ལན་སྐད།	Polsk
རྗོར་ཌན།	Jordan
ནི་ཀ་ར་གུ་ཝ།	Nicaragua
ཧྥོ་ལོ་རི་ཌ།	Florida
ཀེ་རེ་གེཛུ་སུཏེན།	Kirgisistan
ཨྰ་རི་ཟོ་ནྰ།	Arizona
ཁུ་ཝི་ཐི།	Kuwait
ལའོ་སུ།	Laos
ལེ་པ་ནོན།	Libanon
མལ་དི་ཝེསུ།	Maldivene
ཨ་མེ་རི་ཁ་གླིང་ཆེན།	Amerika
ཡུ་ཊ།	Utah
གླང་གོག་	Storfe
མ་ལ་ཤི་ཡ།	Malaysia
བྷར་མ།	Myanmar
བལ་ཡུལ།	Nepal
ཨོ་མན།	Oman
པ་ཀི་སི་ཐན	Pakistan
ཁ་ཏར།	Qatar
ཏན་ནེ་སི་སྤོ་ལོ།	Tennis
སའུ་དི་ཨ་ར་པི་ཡ།	Saudi-Arabia
སེང་ག་གླིང་།	Sri Lanka
སི་རི་ཡ།	Syria
ཕི་ལ་ཐོན།	Platon
ཐ་ཇི་ཁེ་སི་ཏན།	Tadsjikistan
ཐའེ་ཝན།	Republikken Kina
ཐའི་ལེན།	Thailand
མེ་འཁོར།	Jernbanetog
ཏུརཀ་མེ་ནི་སུཏན།	Turkmenistan
ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།	De forente arabiske emirater
ཝི་ཏི་ནམ།	Vietnam
ཤར་ལི་ཤ་པི་ལིན།	Charlie Chaplin
ལྷོ་ཀོ་རི་ཡ།	Sør-Korea
སིམ་བུ་སན།	Simpsons
ཨ་ཧྥུའུ་རྒན་སི་ཐན།	Afghanistan
བྷང་ལ་རྡེ་ཤུ།	Bangladesh
མ་ལི།	Mali
ཨང་གོ་ལ།	Angola
འབྲུག་ཡུལ།	Bhutan
བྷི་རུ་ནི།	Brunei
ཏན་ཛ་ནི་ཡ།	Tanzania
ཧྥི་ལི་པིན།	Filippinene
