ܐܦܪܝܩܐ	Afrika
ܝܦܢ	Japan
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	Sør-Amerika
ܢܘܪܒܝܓ	Norge
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Irland
ܡܓܪ	Ungarn
ܐܣܦܢܝܐ	Spania
ܐܘܚܕܢܐ ܡܚܝܕܐ	USA
ܒܠܓܝܩܐ	Belgia
ܠܘܟܣܡܒܘܪܓ	Luxembourg
ܬܒܝܠ	Universet
ܐܪܥܐ	Jorden
ܡܘܬܐ	Død
ܒܪ ܐܢܫܐ	Menneske
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finland
ܣܘܝܕ	Sverige
ܕܐܢܡܐܪܩ	Danmark
ܦܘܠܢܕ	Polen
ܠܬܘܢܝܐ	Litauen
ܐܝܛܠܝܐ	Italia
ܣܘܝܣܪܐ	Sveits
ܢܡܣܐ	Østerrike
ܝܘܢ	Hellas
ܛܘܪܩܝܐ	Tyrkia
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa
ܐܣܝܐ (ܝܒܫܬܐ)	Asia
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	Nord-Amerika
ܐܢܛܐܪܩܛܝܩܐ	Antarktika
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Nederland
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	New York
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington, D.C.
ܒܪܠܝܢ	Berlin
ܚܫܘܒܐ (ܡܐܟܢܐ)	Datamaskin
ܒܪܢ	Bern
ܬܣܝܪܝܟ	Zürich
ܐܢܛܪܢܛ	Internett
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	London
ܐܠܟܣܢܕܪܝܐ	Alexandria
ܚܙܘܪܐ	Epleslekten
ܦܐܪܝܣ	Paris
ܡܟܣܝܩܘ	Mexico
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Atlanterhavet
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Stillehavet
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Mandag
ܟܢܘܢ ܒ	Januar
ܫܒܛ	Februar
ܐܕܪ	Mars (måned)
ܟܘܫ	Etiopia
ܢܝܣܢ	April
ܐܝܪ	Mai
ܚܙܝܪܢ	Juni
ܬܡܘܙ	Juli
ܐܒ	August
ܐܝܠܘܠ	September
ܬܫܪܝܢ ܐ	Oktober
ܬܫܪܝܢ ܒ	November
ܟܢܘܢ ܐ	Desember
