Afraga	Afrika
An t-Seapan	Japan
Aimearaga a Deas	Sør-Amerika
Nirribhidh	Norge
Sasainn	England
Alba	Skottland
A' Chuimrigh	Wales
Èirinn a Tuath	Nord-Irland
Poblachd na h-Èireann	Irland
An Ungair	Ungarn
An Spàinn	Spania
Na Stàitean Aonaichte	USA
A' Bheilg	Belgia
Lucsamburg	Luxembourg
Saoghal	Jorden
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Suòmaidh	Finland
An t-Suain	Sverige
An Danmhairg	Danmark
A' Phòlainn	Polen
Liotuàinia	Litauen
An Eadailt	Italia
An Eilbheis	Sveits
An Ostair	Østerrike
A' Ghrèig	Hellas
An Tuirc	Tyrkia
Leann	Øl
A' Phortagail	Portugal
An Roinn-Eòrpa	Europa
Àisia	Asia
Aimearaga a Tuath	Nord-Amerika
Antargtaga	Antarktika
Uicipeid	Wikipedia
Na Tìrean Ìsle	Nederland
Bod	Penis
Eabhraig Nuadh (baile)	New York
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Coimpiutair	Datamaskin
Berne	Bern
Geneva	Genève
Zürich	Zürich
Eadar-lìon	Internett
Barack Obama	Barack Obama
Uruguaidh	Uruguay
Basel	Basel
Lunnainn	London
Cairo	Kairo
Alexandria, Virginia	Alexandria (Virginia)
Ubhal	Epleslekten
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Meagsago	Mexico
Cuan Siar	Atlanterhavet
Cuan Sèimh	Stillehavet
Calafòrnia	California
Boston, Massachusetts	Boston
Di-Luain	Mandag
Am Faoilleach	Januar
An Gearran	Februar
Am Màrt	Mars (måned)
Corg	Mars (planet)
A' Cheinia	Kenya
An Aetiòp	Etiopia
Gàna	Ghana
An Giblean	April
An Cèitean	Mai
An t-Ògmhios	Juni
An t-Iuchar	Juli
An Lùnastal	August
An t-Sultain	September
An Dàmhair	Oktober
An t-Samhain	November
An Dùbhlachd	Desember
Di-Màirt	Tirsdag
Di-Ciadain	Onsdag
Di-Ardaoin	Torsdag
Di-haoine	Fredag
Di-Sathairne	Lørdag
Di-Dòmhnaich	Søndag
Leòmhann	Løve
An Fhraing	Frankrike
Esperanto	Esperanto
Cù	Tamhund
An Rìoghachd Aonaichte	Storbritannia
Cat	Tamkatt
Sluagh-Phoblachd na Sìne	Folkerepublikken Kina
Fraingis	Fransk
Iasg	Fisk
Braisil	Brasil
Alcol	Alkoholer
François Hollande	François Hollande
An Ruis	Russland
Muc-mhara	Hvaler
Muir	Hav
Am Muir Dubh	Svartehavet
Pi	Pi (bokstav)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Quebec	Québec
Pastà	Pasta
Wikimedia	Wikimedia Foundation
A' Ghearmailt	Tyskland
A' Bhealaruis	Hviterussland
Gearmailtis	Tysk
Innis Tìle	Island
Dia	Gud
Eastòinia	Estland
David Cameron	David Cameron
Satarn	Saturn
Teòclaid	Sjokolade
Cogadh	Krig
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
An Laitbhe	Latvia
An Ucràin	Ukraina
An t-Seic	Tsjekkia
An t-Slòbhac	Slovakia
Sloibhìnia	Slovenia
Vilnius	Vilnius
Moldàibhia	Moldova
Romàinia	Romania
Bulgàiria	Bulgaria
An Ròimh	Roma
Masadoinia	Republikken Makedonia
Albàinia	Albania
A' Ghraonlainn	Grønland
Poblachd na Cròthaise	Kroatia
