非洲	Afrika
日本	Japan
南美洲	Sør-Amerika
Nò-vî	Norge
Sû-kak-làn	Skottland
Vî-ngì-sṳ̂	Wales
Pet Oi-ngì-làn	Nord-Irland
Hiûng-ngà-li	Ungarn
Sî-pân-ngà	Spania
Mî-koet	USA
Pí-li-sṳ̀	Belgia
Lù-sêm-pó	Luxembourg
Yî-chhiu	Universet
Thi-khiù	Jorden
Sâng-miang	Liv
Ngìn-lui	Menneske
George Washington	George Washington
Fûn-làn	Finland
Shuì-tién	Sverige
Tan-ma̍k	Danmark
Pô-làn	Polen
Li̍p-thâu-vón	Litauen
Yi-thai-li	Italia
Shuì-sṳ	Sveits
O-thi-li	Østerrike
Hî-lia̍p	Hellas
Thú-ngí-khì	Tyrkia
Phù-thò-ngà	Portugal
歐洲	Europa
亞洲	Asia
北美洲	Nord-Amerika
南極洲	Antarktika
Vì-kî Pak-khô	Wikipedia
Hò-làn	Nederland
Néu-yok-sṳ	New York
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington, D.C.
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlin
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Datamaskin
Mióng-chi-mióng-lu	Internett
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	London
Phìn-kó	Epleslekten
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	Mexico
Thai-sî-yòng	Atlanterhavet
Thai-phìn-yòng	Stillehavet
Kâ-li-fuk-nì-â	California
Pô-sṳ-tun	Boston
Fó-sên	Mars (planet)
Âi-set-ngò-pí-â	Etiopia
Sṳ̂-é	Løve
Fap-koet	Frankrike
Sṳ-kie-ngî	Esperanto
Kiéu-è	Tamhund
Yîn-koet	Storbritannia
Meu-é	Tamkatt
中華人民共和國	Folkerepublikken Kina
Fap-ngî	Fransk
Ǹg-è	Fisk
Pâ-sî	Brasil
François Hollande	François Hollande
Ngò-lò-sṳ̂	Russland
Kîn-ǹg	Hvaler
Chang-fông-hìn	Kvadrat
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Québec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Tyskland
Pha̍k-ngò-lò-sṳ̂	Hviterussland
Tet-ngî	Tysk
Pên-tó	Island
Song-ti	Gud
Oi-sâ-nì-â	Estland
David Cameron	David Cameron
Thú-sên	Saturn
Ku-thin-yi̍t Fî-kî	Fly
1	1 (tall)
2	2 (tall)
3	3 (tall)
4	4 (tall)
5	5 (tall)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Latvia
Vû-khiet-làn	Ukraina
Tshia̍p-khiet	Tsjekkia
Sṳ̂-lo̍k-vì-nì-â	Slovenia
Lò-mâ-nì-â	Romania
Pó-kâ-li-â	Bulgaria
Lò-mâ	Roma
Mâ-khì-tun	Republikken Makedonia
Â-ngì-pâ-nì-â	Albania
Khiet-lò-âi-sî-â	Kroatia
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnia-Hercegovina
Â-set-pai-kiông	Aserbajdsjan
Set-phû-lu-sṳ̂	Republikken Kypros
