ʻApelika	Afrika
Iāpana	Japan
‘Amelika Hema	Sør-Amerika
Nolewai	Norge
ʻIlelani	Irland
Hunakalia	Ungarn
Sepania	Spania
‘Amelika Hui Pū ‘ia	USA
Pelekiuma	Belgia
Lukemapuka	Luxembourg
Honua	Jorden
Keoki Wakinekona	George Washington
Pinilana	Finland
Kuekene	Sverige
Kenemaka	Danmark
Pōlani	Polen
Lituania	Litauen
ʻĪkālia	Italia
Kuikilani	Sveits
ʻAukekulia	Østerrike
Helene	Hellas
Tureke	Tyrkia
Potugala	Portugal
‘Eulopa	Europa
‘Ākia	Asia
‘Amelika ‘Ākau	Nord-Amerika
‘Ane‘ālika	Antarktika
Wikipikia	Wikipedia
Hōlani	Nederland
Wakinekona, D.C.	Washington, D.C.
Kapalakiko	San Francisco
Pelelina	Berlin
Barack Obama	Barack Obama
Lākana	London
Palika	Paris
Mekiko	Mexico
Moana ʻAkelanika	Atlanterhavet
Moana Pākīpika	Stillehavet
Kaleponi	California
Pokekona	Boston
Pō‘akahi	Mandag
Ianuali	Januar
Pepeluali	Februar
Malaki	Mars (måned)
Hōkū‘ula	Mars (planet)
Kenia	Kenya
‘Aikiopia	Etiopia
‘Apelila	April
Mei	Mai
Iune	Juni
Iulai	Juli
‘Aukake	August
Kepakemapa	September
‘Okakopa	Oktober
Nowemapa	November
Kēkēmapa	Desember
Pō‘alua	Tirsdag
Pō‘akolu	Onsdag
Pō‘ahá	Torsdag
Pō‘alima	Fredag
Pō‘aono	Lørdag
Pōpule	Søndag
Liona	Løve
Palani	Frankrike
‘Ōlelo Ekepelānako	Esperanto
Aupuni Mōʻī Hui Pū ʻia	Storbritannia
Pōpoki	Tamkatt
Kina	Folkerepublikken Kina
‘Ōlelo Palani	Fransk
Palakila	Brasil
Rūsia	Russland
Pai (makemakika)	Pi
‘Alapama	Alabama
Kelemānia	Tyskland
Belarusa	Hviterussland
ʻĀina Hau	Island
ʻEsetonia	Estland
Makulu	Saturn
1 (helu)	1 (tall)
Lakawia	Latvia
ʻUkelena	Ukraina
Tiekia	Tsjekkia
Solowakia	Slovakia
Solowenia	Slovenia
Molodowa	Moldova
Romānia	Romania
Pulukalia	Bulgaria
Loma	Roma
Repupalika o Masedonia	Republikken Makedonia
ʻAlepania	Albania
Koloatia	Kroatia
Bosenia me Hesegowina	Bosnia-Hercegovina
‘Akepaikana	Aserbajdsjan
ʻAnakola	Andorra
Kupelo	Republikken Kypros
Keokia	Georgia
Kasakana	Kasakhstan
Malata	Malta
Monako	Monaco
Montenegero	Montenegro
Wakikana	Vatikanstaten
Sana Marino	San Marino
‘Inidonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
‘Alekelia	Algerie
Kelewikiona	Fjernsyn
Chile	Chile
Ukaliali‘i	Merkur
Hōkūloa	Venus
Ka‘āwela	Jupiter
Hele‘ekela	Uranus
Nepekune	Neptun (planet)
Kilo hōkū	Astronomi
Sinapoa	Singapore
Akeakamai	Vitenskap
Likenekaina	Liechtenstein
Makemakika	Matematikk
Baharaina	Bahrain
‘Āmēnia	Armenia
Seripia	Serbia
‘Aukekulelia	Australia
Kālaikūlohea	Fysikk
‘Alekina	Argentina
Kālaimeaola	Biologi
Kōlea ʻĀkau	Nord-Korea
Kamabodia	Kambodsja
Nalala	Dinosaurer
Hoʻomana Mohameka	Islam
Kālailau nahele	Botanikk
Sofia	Sofia
Kūlanakauhale	By
Lā	Solen
Kahua o nā hōkū	Solsystemet
Haikokene	Hydrogen
Hiliuma	Helium
Likiuma	Litium
Beryllium	Beryllium
Makahiki	År
Oslo	Oslo
Likepona	Lisboa
Rhône (kahawai)	Rhône
Boron	Bor (grunnstoff)
Kalepona	Karbon
Naikokene	Nitrogen
‘Okikene	Oksygen
Hōkū hele	Planet
Mokekao	Moskva
Fluorine	Fluor
ʻŌlelo ʻĪkālia	Italiensk
Nīane	Neon
Sodiuma	Natrium
Makanekiuma	Magnesium
‘Aluminuma	Aluminium
‘Īnia	India
Silikone	Silisium
Pokepola	Fosfor
Sulufura	Svovel
Kolorine	Klor
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Kalium
Kalipuna	Kalsium
Monokolia	Mongolia
Scandium	Scandium
Titanium	Titan (grunnstoff)
Vanadium	Vanadium
Maine	Maine
Lio	Hest
Hoʻomana Buda	Buddhisme
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaii
Moana ʻĀlika	Nordishavet
Heiti	Haiti
‘Ilana	Iran
‘Ilaka	Irak
‘Ālaka	Alaska
ʻIseraʻela	Israel
Panamā	Panama
Iemene	Jemen
Ioredāne	Jordan
Pololika	Florida
Kaikikana	Kirgisistan
‘Alikona	Arizona
Kuete	Kuwait
Laosa	Laos
Lepanona	Libanon
‘Olekona	Oregon
Maladiwa	Maldivene
Uka	Utah
Malaisia	Malaysia
Puruma	Myanmar
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Qatar
Saudi ʻAlapia	Saudi-Arabia
Sililanaka	Sri Lanka
Suria	Syria
Pokémon	Pokémon
Tailani	Thailand
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesh
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Filippinene
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunisia
Beijing	Beijing
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius
Iulius Caesar	Julius Cæsar
Hamepuka	Hamburg
Huli honua	Geologi
Mikikana	Michigan
‘Ilinoe	Illinois
Tulinia	Thüringen
Kakoka ‘Ākau	Nord-Dakota
Kakoka Hema	Sør-Dakota
Monekana	Montana
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington
Moana ʻIniana	Indiahavet
Kololako	Colorado
ʻAlepa	Alpene
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Spansk
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia
Wilikinia Komohana	Vest-Virginia
Nuioka	New York (delstat)
Loke ‘Ailana	Rhode Island
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Finsk
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia (USA)
Kekeka	Texas
Kalolaina Hema	Sør-Carolina
Seine	Seine
Buenos Aires	Buenos Aires
Mēkiko D.F.	Mexico by
Mikikipi	Mississippi
Kenekī	Tennessee
Nū Mekiko	New Mexico
‘Akenai	Athen
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa
Nepalaka	Nebraska
Kanekaka	Kansas
Mikouli	Missouri
Luikiana	Louisiana
Kenekuke	Kentucky
‘Akanaka	Arkansas
‘Okalahoma	Oklahoma
Makekepuka	Magdeburg
Reykjavík	Reykjavík
Paipala	Bibelen
Thulium	Thulium
‘Ōlelo Pelekania	Engelsk
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów
Kemika	Kjemi
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago de Chile
Quito	Quito
Ankara	Ankara
Riyadh	Riyadh
