ʻApelika	Afrika
Kamakeko	Damaskus
Amman	Amman
Muscat	Muskat (Oman)
Wikipedia:Sandbox	Wikipedia:Sandkasse
Wehimala	Weimar
Osasco	Osasco
Dong Hoi Airport	Dong Hoi lufthavn
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mount St. Helens
Mokuhonua	Kontinent
Kapikala	Hovedstad
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Encyklopedi
Ka papa kinohi	Portal:Forside
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Pablo Picasso	Pablo Picasso
Raffael Santi	Rafael
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Basho
Castille a Leon	Castilla y León
Meka	Mekka
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
Homer	Homer
Hōʻole Akua	Ateisme
Kālaikaiaola	Økologi
Kālaiʻāina	Politikk
Aupuni	Regjering
Qin Shi Huang	Qin Shi Huangdi
Tolstoi	Leo Tolstoj
Moku‘āina	Stat
ʻŌlelo Lūkini	Russisk
‘Ōlelo Pākē	Kinesisk
Nelson Mandela	Nelson Mandela
Makani Pāhili	Tropisk syklon
Moʻokalaleo	Litteratur
Māhele:Palani	Kategori:Frankrike
Oboe	Obo
ʻOlumepika Kauwela ma 2008	Sommer-OL 2008
Granada	Granada
ʻĀtoma	Atom
Mohameka	Muhammed
Burgos	Burgos
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zazaisk
Māhele:Palakila	Kategori:Brasil
Kumumea kemikala	Grunnstoff
‘Ohe kani	Fløyte
ʻAlea	Areal
Hulahula	Dans
Papa o nā ʻāina	Liste over stater
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Døvhet
Ponferrada	Ponferrada
Santander	Santander (by)
Helu piha	Heltall
‘Ōlelo ‘Alapia	Arabisk
Tiranosauru	Tyrannosaurus rex
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Flagg
‘Ulu	Brødfrukt
Aupuni kiwikā	Kommune
Salamanca	Salamanca
Zamora (España)	Zamora (Spania)
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix
Kakalameko	Sacramento
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Det nye testamente
Rafael Correa	Rafael Correa
Louvre	Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Partido Independentista Puertorriqueño
Kalikimaka	Jul
Mo‘ai	Moai
Hoʻolele hualono	Podkasting
Friedrich Schiller	Friedrich Schiller
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Pule	Ukedager
Cervidae	Hjortedyr
Pule Alaka‘i A Ka Haku	Fader vår
Musée d'Orsay	Musée d'Orsay
Mokupuni	Øy
Moshchena	Mosjtsjena
ʻōhiʻa lomi	Tomat
Panalā‘au o Quảng Binh	Quang Binh (provins)
Bryan Cranston	Bryan Cranston
Felidae	Kattefamilien
Pichilemu	Pichilemu
Canidae	Hundefamilien
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Bovidae	Okser
Phocidae	Selfamilien
ʻAnekelopa	Antiloper
‘Amelika	Amerika (andre betydninger)
Otariidae	Øreselfamilien
Pinnipedia	Seler
Zhengzhou	Zhengzhou
Mīkini helu	Kalkulator
Halakepoka	Hartford
‘Ōlelo Hawai‘i	Hawaiisk
Pea kina	Panda
Pae moku	Arkipel
Valparaíso	Valparaíso
‘Ōlelo Sāmoa	Samoansk
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitisk
Wailele ‘o Niakala	Niagarafallene
Mošovce	Mošovce
ʻAperodite	Afrodite
Nā mokuʻāina o ʻAmelika Hui	USAs delstater
Pauka niho	Tannkrem
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Entomologi
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus
Waleluka	Hvalross
Johannes Vermeer	Johannes Vermeer
Teletubbies	Teletubbiene
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwo'ole
Johnny Cash	Johnny Cash
Nanahana	Tempeltre
Hesioda	Hesiod
Josepa Samika	Joseph Smith
Pihemanu	Midwayøyene
Paris Hilton	Paris Hilton
Palapola	Parabel
Helu kumu	Primtall
Palencia	Palencia (provins)
ʻUkulele	Ukulele
Hawai‘i (mokupuni)	Hawaii (øy)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Uranos
Coronel Fabriciano	Coronel Fabriciano
Pamela Anderson	Pamela Anderson
Gema	Edelsten
Puahōlani	Tulipanslekta
Nikolai Rimsky-Korsakov	Nikolaj Rimskij-Korsakov
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Lili‘uokalani	Liliuokalani
Joey King	Joey King
X-Men	X-Men
Nika	Nyx
Mauna Kea	Mauna Kea
O‘ahu	Oahu
Sonata No. 8 no Piano (Beethoven)	Pianosonate nr. 8 (Beethoven)
ʻĀpana	Gu (forvaltningsenhet)
John Singer Sargent	John Singer Sargent
Sesame Street	Sesame Street
Aupuni Mōʻī o Hawaiʻi	Kongeriket Hawaii
Mauna Loa	Mauna Loa
Frans Hals	Frans Hals
Pō La‘i Ē	Glade jul
Nuʻuhiwa	Marquesasøyene
Edentata	Gomlere
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Hawaiiøyene
Ivan Shishkin	Ivan Sjisjkin
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
Hakakā ‘ole	Ikke-drap
Kaua‘i	Kauai
Tigranes II	Tigranes I av Armenia
Georges de La Tour	Georges de la Tour
Ivan Kramskoi	Ivan Kramskoj
Roger Ebert	Roger Ebert
John Bauer	John Bauer
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha I
Hilo	Hilo
Anggun	Anggun
Kaho‘olawe	Kahoolawe
Kalo	Taro
Makua Kamiano	Damian de Veuster
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Allehelgensaften
Waikīkī	Waikiki
Imelda Marcos	Imelda Marcos
Michael Gough	Michael Gough
Peterosauru	Pterodactylus
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora utforskeren
Hua mele hapawalu	Åttedelsnote
Hua mele ‘oko‘a	Helnote
Hua mele hapahā	Firedelsnote
Maki a Ruby	Maks og Ruby
Jeddah	Jeddah
Hua mele hapa kanakolukūmālua	Trettitodelsnote
Kamehameha II	Kamehameha II
Hua mele hapalua	Halvnote
Anne Hathaway	Anne Hathaway (andre betydninger)
Kamehameha III	Kamehameha III
Buke a Moramona	Mormons bok
Carazo	Carazo (departement)
Pōmare IV	Pomare IV av Tahiti
Tan Son Nhat International Airport	Tan Son Nhat internasjonale lufthavn
Láchar	Láchar
Baza	Baza
San Vicente del Raspeig	San Vicente del Raspeig
Nā kiaʻāina o Hawaiʻi	Liste over guvernører i Hawaii
Ka'aahi Thomas	Lokomotivet Thomas og vennene hans
Likaono	Lykaon
Mauna kai	Undervannsfjell
Huahine	Huahine
Honolulu International Airport	Honolulu internasjonale lufthavn
Līhuʻe	Lihue
Viveiro	Viveiro
‘Ārue	Arue
Abejar	Abejar
Pōmare II	Pomare II av Tahiti
Pōmare I	Pomare I av Tahiti
Pōmare III	Pomare III av Tahiti
Hua mele hapa ‘umikūmāono	Sekstendelsnote
Covarrubias	Covarrubias
Pele	Pele (gudinne)
Aiga-i-le-Tai	Aiga-i-le-Tai
Wikipedia:Nohona kuhina	Wikipedia:Ambassade
Manuae	Manuae (Fransk Polynesia)
Māhele:Kelemānia	Kategori:Tyskland
Māhele:ʻAmelika Hui Pū ʻia	Kategori:USA
Māhele:Sepania	Kategori:Spania
Māhele:Mekiko	Kategori:Mexico
Māhele:Pōlani	Kategori:Polen
Māhele:Wiekanama	Kategori:Vietnam
Māhele:Hōʻike honua	Kategori:Geografi
Māhele:Akeakamai	Kategori:Vitenskap
Māhele:Disambig	Kategori:Pekere
Albert Küchler	Albert Küchler
Hua mele hapa hanelekūmāiwakāluakūmāwalu	Hundreogtjueåttedelsnote
Hua mele hapa kanaonokūmāhā	Sekstifiredelsnote
Bochotnica	Bochotnica
Sanna Nielsen	Sanna Nielsen
Conrad Bain	Conrad Bain
Māhele:Nā ‘āinapuni‘ole	Kategori:Kontinenter
Zoboomafoo	Zoboomafoo
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Mal:Solsystem
Wikipedia:Nā kahu	Wikipedia:Administratorer
Wikipedia:Lopako	Wikipedia:Roboter
‘Aikupika	Egypt
Anakuhi:Lopako	Mal:Bot
Kanakā	Canada
Māhele:Hunakalia	Kategori:Ungarn
Māhele:Helene	Kategori:Hellas
Māhele:Solowakia	Kategori:Slovakia
Māhele:ʻEulopa	Kategori:Europa
Māhele:Wikipedians by language	Kategori:Wikipedia-brukere etter språk
Wikipedia:‘Ōmuku	Wikipedia:Stubb
Anakuhi:Softredirect	Mal:Softredirect
Anakuhi:Kāpae	Mal:Hurtigsletting
Māhele:‘Ōlelo	Kategori:Språk
Māhele:Wikipikia	Kategori:Wikipedia
Wikipedia:Nā a‘o ‘ana laulā	Wikipedia:Generelle forbehold
Wikipedia:Manuale Kaila	Wikipedia:Stilmanual
Anakuhi:Navbox	Mal:Navboks
Anakuhi:!	Mal:!
Anakuhi:Tnavbar	Mal:Tnavbar
Māhele:ʻApelika	Kategori:Afrika
Anakuhi:Papela	Mal:Babel
Anakuhi:Commons	Mal:Commons
Anakuhi:ʻŌmuku	Mal:Stubb
Anakuhi:User de	Mal:Bruker de
Anakuhi:User en	Mal:Bruker en
Anakuhi:User fr	Mal:Bruker fr
Māhele:ʻĀkia	Kategori:Asia
Māhele:21st century	Kategori:2000-tallet
Māhele:Castille a Leon	Kategori:Castilla y León
Anakuhi:Mod	Mal:Mod
Anakuhi:Aloha	Mal:Reg-velkommen
Anakuhi:Wikipediasister	Mal:Søsterprosjekt
Anakuhi:Wide image	Mal:Panoramabilde
Māhele:Palika	Kategori:Paris
Māhele:User en	Kategori:Bruker en
Anakuhi:User ru	Mal:Bruker ru
Anakuhi:Pule	Mal:Ukedager
Anakuhi:Huaʻōlelo puana like	Mal:Peker
Māhele:User fr	Kategori:Bruker fr
Māhele:Panalāʻau o Quảng Binh	Kategori:Quang Binh
Māhele:User de	Kategori:Bruker de
Māhele:User de-N	Kategori:Bruker de-N
Māhele:User en-N	Kategori:Bruker en-N
Anakuhi:ʻŌnaehana helu	Mal:Tallmengder
Māhele:Huli kanaka	Kategori:Samfunnsvitenskap
Māhele:Kahawai o Palani	Kategori:Elver i Frankrike
Māhele:User ru	Kategori:Bruker ru
Māhele:Kahaki‘i	Kategori:Malere
Māhele:Hawai‘i	Kategori:Hawaii
Māhele:Kanaka o Hawaiʻi	Kategori:Personer fra Hawaii
Māhele:Panalā‘au o Granada	Kategori:Byer i Granada
Māhele:Kelewikiona	Kategori:TV
Māhele:Nolewai	Kategori:Norge
Māhele:Kapikala	Kategori:Hovedsteder
Trojany	Trojany
Māhele:Haku mele (ho‘okani)	Kategori:Komponister
Module:Citation/CS1/Whitelist	Modul:Citation/CS1/Whitelist
Module:Yesno	Modul:Yesno
Module:Category handler	Modul:Category handler
Module:Arguments	Modul:Arguments
Papa nui:NāLoliHou	Spesial:Siste endringer
Module:Citation/CS1	Modul:Citation/CS1
Module:Citation/CS1/Configuration	Modul:Citation/CS1/Configuration
Module:Namespace detect	Modul:Namespace detect
Module:HtmlBuilder	Modul:HtmlBuilder
Module:Navbar	Modul:Navbar
Module:Navbox	Modul:Navbox
